,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,40,US,1619964317,44,42.6001,-73.9662,60.8,5.75
1,Kapaa,90,US,1619964545,88,22.0752,-159.319,73.4,16.11
2,Roald,0,NO,1619964545,57,62.5833,6.1333,46.4,14.97
3,Iqaluit,90,CA,1619964546,70,63.7506,-68.5145,37.4,14.97
4,Zhigansk,100,RU,1619964546,99,66.7697,123.3711,32.04,4.47
5,Huangnihe,100,CN,1619964546,56,43.5583,128.0239,46.2,5.57
6,Jalu,5,LY,1619964547,6,29.0331,21.5482,107.33,9.04
7,Vicuña,100,CL,1619964547,27,-30.0319,-70.7081,66.99,4.5
8,Haines Junction,36,CA,1619964547,93,60.7522,-137.5108,21.2,1.5
9,Hithadhoo,99,MV,1619964548,72,-0.6,73.0833,81.59,3.04
10,Vaini,75,TO,1619964548,78,-21.2,-175.2,73.4,10.36
11,Hermanus,0,ZA,1619964548,34,-34.4187,19.2345,84.0,3.0
12,Provideniya,100,RU,1619964549,80,64.3833,-173.3,22.01,12.95
13,Torbay,20,CA,1619964549,53,47.6666,-52.7314,46.0,27.63
14,Busselton,100,AU,1619964549,89,-33.65,115.3333,57.0,1.99
15,Sechura,61,PE,1619964549,66,-5.5569,-80.8222,73.24,11.34
16,Māngrol,2,IN,1619964550,65,21.1167,70.1167,84.51,13.71
17,Taltal,5,CL,1619964550,66,-25.4,-70.4833,66.88,4.72
18,Bud,1,US,1619964550,59,39.447,-86.1758,68.0,6.91
19,Hong Kong,100,HK,1619964330,64,22.2855,114.1577,79.0,1.01
20,Petropavlovsk-Kamchatskiy,90,RU,1619964551,100,53.0452,158.6483,32.0,6.71
21,Helong,100,CN,1619964551,61,42.5397,128.9972,45.93,5.73
22,Cidreira,0,BR,1619964551,53,-30.1811,-50.2056,73.04,1.95
23,Huarmey,6,PE,1619964552,74,-10.0681,-78.1522,70.83,6.98
24,Juradó,94,CO,1619964552,71,7.1053,-77.7641,81.43,2.37
25,Faanui,2,PF,1619964552,68,-16.4833,-151.75,80.22,5.14
26,Sahaspur,14,IN,1619964553,18,29.1333,78.6167,93.83,7.38
27,Hilo,90,US,1619964553,78,19.7297,-155.09,71.6,5.75
28,Rikitea,95,PF,1619964553,72,-23.1203,-134.9692,76.84,14.27
29,Mount Gambier,90,AU,1619964526,94,-37.8333,140.7667,53.6,6.91
30,Kavaratti,92,IN,1619964554,69,10.5669,72.642,85.77,4.81
31,Garissa,77,KE,1619964554,43,-0.4536,39.6401,91.58,15.14
32,Ambilobe,56,MG,1619964554,83,-13.2,49.05,79.48,1.07
33,Velká Bíteš,75,CZ,1619964555,76,49.2884,16.2274,48.99,24.16
34,Eenhana,94,NA,1619964555,38,-17.4667,16.3333,80.67,10.2
35,Sibolga,100,ID,1619964555,88,1.7427,98.7792,78.98,2.68
36,Makaha,1,US,1619964556,88,21.4694,-158.2175,75.0,11.32
37,Kamenka,69,RU,1619964556,50,51.3223,42.7678,67.77,6.76
38,St. Pete Beach,1,US,1619964556,78,27.7253,-82.7412,82.0,8.05
39,Batagay,100,RU,1619964557,97,67.6333,134.6333,29.28,2.75
40,Senigallia,40,IT,1619964557,38,43.7093,13.2167,73.4,17.27
41,Airai,92,TL,1619964557,86,-8.9266,125.4092,56.68,2.48
42,Mataura,55,NZ,1619964557,94,-46.1927,168.8643,54.0,1.99
43,Kaitangata,1,NZ,1619964558,78,-46.2817,169.8464,54.0,6.26
44,Mushie,27,CD,1619964558,53,-3.0167,16.9,88.56,2.73
45,Atuona,63,PF,1619964558,72,-9.8,-139.0333,79.61,11.7
46,Searcy,75,US,1619964559,94,35.2506,-91.7363,64.4,4.61
47,Dikson,99,RU,1619964559,91,73.5069,80.5464,25.47,8.72
48,Inírida,100,CO,1619964559,96,3.8653,-67.9239,74.05,2.62
49,Gumdag,100,TM,1619964559,30,39.2061,54.5906,76.35,4.52
50,Port Alfred,0,ZA,1619964306,56,-33.5906,26.891,71.28,15.14
51,Saint George,1,US,1619964560,20,37.1041,-113.5841,64.99,3.44
52,Nikolskoye,40,RU,1619964560,43,59.7035,30.7861,50.0,6.71
53,Ushuaia,0,AR,1619964447,75,-54.8,-68.3,37.4,5.75
54,Salalah,40,OM,1619964561,74,17.0151,54.0924,86.0,12.66
55,Champerico,100,GT,1619964561,99,14.3,-91.9167,68.0,6.35
56,Broken Hill,0,AU,1619964561,36,-31.95,141.4333,62.6,8.12
57,Punta Arenas,75,CL,1619964562,87,-53.15,-70.9167,39.2,10.36
58,Jamestown,75,US,1619964562,82,42.097,-79.2353,63.0,10.36
59,Olafsvik,22,IS,1619964562,58,64.8945,-23.7142,37.81,14.85
60,Chui,56,UY,1619964562,58,-33.6971,-53.4616,70.74,5.26
61,Havelock,1,US,1619964478,64,34.8791,-76.9013,72.0,8.05
62,Kupang,16,ID,1619964563,75,-10.1667,123.5833,77.16,10.74
63,Laas,75,IT,1619964563,50,46.6166,10.7002,68.0,10.36
64,Saldanha,0,ZA,1619964563,12,-33.0117,17.9442,89.6,4.61
65,Portland,40,US,1619964085,71,45.5234,-122.6762,50.0,5.75
66,Lüderitz,2,NA,1619964564,43,-26.6481,15.1594,74.79,10.69
67,Avarua,75,CK,1619964564,100,-21.2078,-159.775,71.6,2.3
68,Flinders,94,AU,1619964564,87,-34.5833,150.8552,60.01,1.01
69,Cape Town,0,ZA,1619964321,22,-33.9258,18.4232,80.6,9.22
70,Tasiilaq,1,GL,1619964565,64,65.6145,-37.6368,35.6,3.44
71,Hobart,75,AU,1619964544,67,-42.8794,147.3294,59.0,3.44
72,Port Elizabeth,0,ZA,1619964366,52,-33.918,25.5701,69.8,13.8
73,Erzin,34,TR,1619964565,81,36.9559,36.2,73.0,14.0
74,Etāwah,100,IN,1619964566,21,26.7769,79.0239,92.28,2.37
75,Trairi,100,BR,1619964380,80,-3.2778,-39.2689,79.32,5.19
76,Saint-Philippe,75,RE,1619964566,69,-21.3585,55.7679,80.6,5.75
77,Ponta do Sol,99,PT,1619964566,62,32.6667,-17.1,62.01,3.0
78,Bengkulu,100,ID,1619964566,89,-3.8004,102.2655,78.13,5.44
79,Carnarvon,100,AU,1619964567,68,-24.8667,113.6333,68.0,17.27
80,Longyearbyen,20,SJ,1619964567,68,78.2186,15.6401,23.0,3.44
81,Naples,40,IT,1619964567,55,40.8333,14.25,64.4,12.66
82,Beringovskiy,88,RU,1619964568,96,63.05,179.3167,9.1,9.26
83,Necochea,100,AR,1619964568,74,-38.5473,-58.7368,64.99,10.36
84,Butaritari,20,KI,1619964568,75,3.0707,172.7902,82.38,13.18
85,Edd,95,ER,1619964569,54,13.9297,41.6925,87.84,13.13
86,Kruisfontein,0,ZA,1619964569,43,-34.0033,24.7314,71.53,9.17
87,Ginda,100,IN,1619964569,79,30.6945,78.4932,57.47,6.51
88,Maués,74,BR,1619964569,64,-3.3836,-57.7186,84.9,3.4
89,Romitan,0,UZ,1619964570,25,39.9343,64.3814,86.0,9.22
90,Anda,100,CN,1619964570,34,46.4,125.3167,57.13,7.72
91,Vila Velha,75,BR,1619964571,94,-20.3297,-40.2925,75.99,5.75
92,Kiunga,100,PG,1619964571,99,-6.1219,141.2906,73.4,1.97
93,Yellowknife,1,CA,1619964571,57,62.456,-114.3525,15.01,8.05
94,Hofn,75,IS,1619964572,60,64.2539,-15.2082,37.4,12.66
95,Kharp,100,RU,1619964572,96,66.8014,65.8081,32.92,9.91
96,Acajutla,75,SV,1619964301,100,13.5928,-89.8275,75.0,3.58
97,Souillac,40,MU,1619964572,78,-20.5167,57.5167,82.4,8.05
98,Ust-Tsilma,100,RU,1619964572,65,65.441,52.1498,36.19,19.15
99,Miraflores,75,MX,1619964573,59,19.2167,-98.8083,62.6,4.38
100,Ilulissat,1,GL,1619964573,31,69.2167,-51.1,44.6,14.97
101,Northam,16,GB,1619964573,16,51.0333,-4.2167,54.0,10.98
102,Krasnosel'kup,100,RU,1619964574,94,65.7,82.4667,34.12,13.51
103,Severo-Kuril'sk,100,RU,1619964574,97,50.6789,156.125,34.97,23.51
104,Hālol,20,IN,1619964574,25,22.5,73.4667,100.4,2.3
105,Yar-Sale,85,RU,1619964575,91,66.8333,70.8333,32.76,11.74
106,Bambous Virieux,40,MU,1619964575,78,-20.3428,57.7575,82.4,8.05
107,Westport,1,US,1619964575,48,41.1415,-73.3579,66.0,16.11
108,Oltedal,100,NO,1619964576,81,58.831,6.0466,45.0,1.01
109,Cherskiy,16,RU,1619964576,94,68.75,161.3,5.13,3.31
110,Hendek,0,TR,1619964576,37,40.7994,30.7481,84.2,9.22
111,Hasaki,75,JP,1619964577,58,35.7333,140.8333,53.6,10.36
112,Thompson,90,CA,1619964577,80,55.7435,-97.8558,23.0,5.75
113,San Quintín,95,MX,1619964577,77,30.4833,-115.95,58.28,10.92
114,Barrow,75,US,1619964578,79,71.2906,-156.7887,14.0,5.75
115,Alta Floresta,75,BR,1619964578,78,-9.8756,-56.0861,82.4,3.44
116,Bandarbeyla,55,SO,1619964578,67,9.4942,50.8122,86.05,11.72
117,Port Lincoln,100,AU,1619964579,62,-34.7333,135.8667,61.36,9.1
118,Oistins,20,BB,1619964579,57,13.0667,-59.5333,82.4,18.41
119,Mandalgovi,90,MN,1619964579,46,45.7625,106.2708,45.28,22.84
120,Saskylakh,84,RU,1619964580,99,71.9167,114.0833,15.82,4.09
121,Honiara,100,SB,1619964580,86,-9.4333,159.95,76.98,2.84
122,New Norfolk,75,AU,1619964580,67,-42.7826,147.0587,59.0,3.44
123,Coachella,1,US,1619964581,48,33.6803,-116.1739,66.2,17.27
124,Talnakh,15,RU,1619964421,95,69.4865,88.3972,22.05,4.43
125,San Cristobal,40,VE,1619964581,94,7.7669,-72.225,78.8,0.81
126,Tete,75,MZ,1619964581,47,-16.1564,33.5867,82.4,10.36
127,Kimbe,42,PG,1619964582,92,-5.5502,150.1429,75.72,4.05
128,Santa Rosa,20,PH,1619964582,70,14.3122,121.1114,84.2,5.75
129,Qaanaaq,62,GL,1619964582,66,77.484,-69.3632,31.69,6.53
130,Hualmay,7,PE,1619964582,75,-11.0964,-77.6139,69.89,6.62
131,Klaksvík,75,FO,1619964583,60,62.2266,-6.589,41.0,8.05
132,Sabha,7,LY,1619964583,3,27.0377,14.4283,104.29,14.47
133,Bethel,1,US,1619964583,30,41.3712,-73.414,69.8,13.8
134,East London,0,ZA,1619964388,60,-33.0153,27.9116,69.8,9.22
135,Fatehpur,67,IN,1619964584,20,25.9333,80.8,95.63,13.91
136,Chumikan,100,RU,1619964584,95,54.7183,135.315,30.13,3.02
137,Tuatapere,4,NZ,1619964584,94,-46.1333,167.6833,54.0,1.99
138,Codrington,6,AU,1619964585,95,-38.2667,141.9667,53.94,7.92
139,Changping,0,CN,1619964317,31,40.2186,116.2197,62.01,6.71
140,Shahe,96,CN,1619964585,41,39.2708,113.5478,52.02,3.38
141,Puerto Ayora,75,EC,1619964585,73,-0.7393,-90.3518,78.8,9.22
142,Fare,23,PF,1619964586,68,-16.7,-151.0167,80.31,6.49
143,Arica,0,CL,1619964336,64,-18.475,-70.3042,68.0,5.75
144,Tura,100,IN,1619964586,89,25.5198,90.2201,70.05,6.98
145,Saint Paul Harbor,90,US,1619964586,81,57.79,-152.4072,41.0,13.8
146,Bonavista,100,CA,1619964587,65,48.6499,-53.1147,44.6,14.97
147,Ostrovnoy,98,RU,1619964587,74,68.0531,39.5131,31.71,21.54
148,Cabcaben,20,PH,1619964587,70,14.454,120.5914,84.99,5.75
149,Sombrerete,1,MX,1619964588,24,23.6333,-103.65,55.74,3.76
150,Port Hedland,17,AU,1619964588,100,-20.3167,118.5667,73.4,6.91
151,Mahébourg,40,MU,1619964588,78,-20.4081,57.7,82.4,8.05
152,Port Blair,1,IN,1619964589,72,11.6667,92.75,84.6,6.85
153,Etchoropo,40,MX,1619964589,63,26.7667,-109.6667,73.65,16.62
154,Rawson,100,AR,1619964589,44,-43.3002,-65.1023,59.38,13.67
155,Bambanglipuro,92,ID,1619964590,84,-7.95,110.2833,78.82,5.3
156,Voyvozh,86,RU,1619964590,46,62.892,54.9635,36.95,11.79
157,Virgilio,22,IT,1619964590,64,45.1195,10.7905,70.0,3.0
158,Cardston,94,CA,1619964590,87,49.2,-113.3019,37.4,5.75
159,La Rioja,40,ES,1619964591,41,42.25,-2.5,61.0,3.44
160,Ancud,40,CL,1619964591,93,-41.8697,-73.8203,53.01,4.61
161,Kumul,100,CN,1619964591,12,42.8,93.45,57.97,19.19
162,Bredasdorp,13,ZA,1619964592,41,-34.5322,20.0403,75.2,8.05
163,Ţahţā,0,EG,1619964592,5,26.7693,31.5021,104.0,11.5
164,Leżajsk,75,PL,1619964592,82,50.2626,22.4193,59.0,20.71
165,Tawang Town,78,IN,1619964593,88,27.5833,91.8667,47.77,1.3
166,Borzya,100,RU,1619964593,48,50.3833,116.5167,46.51,21.25
167,Syas'stroy,88,RU,1619964593,53,60.1367,32.5691,42.73,8.63
168,Tromsø,0,NO,1619964488,48,69.6496,18.957,35.6,11.5
169,Buta,100,CD,1619964594,90,2.7858,24.73,77.11,4.27
170,Isangel,42,VU,1619964594,82,-19.55,169.2667,76.17,14.94
171,Bluff,72,NZ,1619964594,94,-46.6,168.3333,54.0,1.99
172,Sarangani,100,PH,1619964595,77,5.4033,125.4636,83.57,18.72
173,Bilma,0,NE,1619964595,3,18.6853,12.9164,106.12,11.97
174,Siocon,88,PH,1619964595,84,7.7061,122.1353,80.53,6.58
175,Rio Grande,0,BR,1619964596,53,-32.035,-52.0986,77.0,2.3
176,Port Hardy,75,CA,1619964596,100,50.6996,-127.4199,44.6,2.3
177,Orlik,59,RU,1619964596,88,52.5178,99.825,21.31,3.27
178,Auki,85,SB,1619964597,86,-8.7676,160.7034,77.49,2.46
179,Yarmouth,1,US,1619964597,62,41.7057,-70.2286,59.0,19.57
180,Jacareacanga,100,BR,1619964597,68,-6.2222,-57.7528,84.36,2.64
181,North Bend,90,US,1619964598,93,43.4065,-124.2243,51.8,2.08
182,Pevek,100,RU,1619964598,98,69.7008,170.3133,6.08,1.74
183,Ossora,5,RU,1619964598,90,59.2353,163.0719,13.42,5.41
184,Aklavik,99,CA,1619964598,86,68.2191,-135.0107,23.0,4.61
185,Tuktoyaktuk,90,CA,1619964599,92,69.4541,-133.0374,10.4,5.75
186,Sol'vychegodsk,100,RU,1619964599,32,61.3305,46.9156,45.18,8.03
187,Marsh Harbour,41,BS,1619964329,73,26.5412,-77.0636,78.4,13.27
188,Tiksi,100,RU,1619964599,99,71.6872,128.8694,25.36,3.51
189,São Félix do Xingu,100,BR,1619964600,78,-6.6447,-51.995,80.96,2.24
190,Kikwit,83,CD,1619964600,54,-5.041,18.8162,85.57,3.58
191,Acaraú,84,BR,1619964559,64,-2.8856,-40.12,83.59,7.74
192,Mamlyutka,100,KZ,1619964600,29,54.9375,68.5394,65.75,20.27
193,Chokurdakh,5,RU,1619964601,95,70.6333,147.9167,2.3,4.5
194,Niltepec,98,MX,1619964601,72,16.5667,-94.6167,80.83,9.15
195,Boende,86,CD,1619964601,51,-0.2167,20.8667,88.74,2.19
196,São Filipe,24,CV,1619964602,69,14.8961,-24.4956,71.71,10.09
197,Mar del Plata,0,AR,1619964494,82,-38.0023,-57.5575,66.0,12.66
198,Benghazi,48,LY,1619964613,31,32.1167,20.0667,85.5,11.65
199,Vostok,94,RU,1619964614,83,46.4856,135.8833,32.52,4.74
200,Begampur,75,IN,1619964614,78,22.7417,88.2433,86.0,13.8
201,Makaleng,3,BW,1619964614,41,-20.9,27.2833,70.0,17.38
202,Arraial do Cabo,40,BR,1619964615,78,-22.9661,-42.0278,77.0,5.75
203,Deputatsky,100,RU,1619964615,89,69.3,139.9,22.73,2.95
204,Upernavik,11,GL,1619964615,72,72.7868,-56.1549,33.84,4.43
205,Baykit,97,RU,1619964616,98,61.67,96.37,34.3,4.47
206,Hobyo,91,SO,1619964616,66,5.3505,48.5268,86.07,11.86
207,Churapcha,100,RU,1619964616,86,62.0025,132.4325,37.11,6.22
208,Hay River,100,CA,1619964324,86,60.8156,-115.7999,17.6,3.62
209,Altamira,40,BR,1619964617,74,-3.2033,-52.2064,84.2,6.91
210,Henties Bay,7,NA,1619964617,59,-22.116,14.2845,72.0,5.99
211,San Matías,11,BO,1619964617,50,-16.3667,-58.4,88.11,6.93
212,Dzaoudzi,0,YT,1619964618,62,-12.7887,45.2699,89.6,5.75
213,Almaznyy,40,RU,1619964618,44,48.0448,40.045,77.0,6.71
214,Encruzilhada do Sul,5,BR,1619964618,39,-30.5439,-52.5219,74.08,5.17
215,Castro,39,BR,1619964619,68,-24.7911,-50.0119,66.87,4.25
216,Tual,98,ID,1619964619,75,-5.6667,132.75,83.19,13.89
217,Nogales,1,MX,1619964619,16,31.3086,-110.9422,69.8,8.05
218,Marawi,39,PH,1619964619,84,7.9986,124.2928,78.01,5.01
219,Saint-Leu,75,RE,1619964620,69,-21.15,55.2833,80.6,5.75
220,Padang,40,ID,1619964620,83,-0.9492,100.3543,82.4,2.3
221,Esperance,40,AU,1619964620,82,-33.8667,121.9,57.2,8.05
222,Inuvik,100,CA,1619964621,86,68.3499,-133.7218,23.0,4.61
223,Mānsa,50,IN,1619964621,18,29.9833,75.3833,95.88,15.61
224,George Town,40,MY,1619964467,83,5.4112,100.3354,82.99,6.91
225,Norman Wells,75,CA,1619964621,80,65.282,-126.8329,28.4,3.44
226,Raudeberg,50,NO,1619964622,64,61.9875,5.1352,46.99,20.38
227,Omboué,99,GA,1619964622,75,-1.5746,9.2618,83.84,6.69
228,Buala,46,SB,1619964622,82,-8.145,159.5921,79.66,3.76
229,Ust'-Ilimsk,100,RU,1619964432,96,58.0006,102.6619,33.3,5.77
230,Kaeo,0,NZ,1619964623,92,-35.1,173.7833,48.0,1.99
231,San Patricio,20,US,1619964623,94,28.017,-97.5169,77.0,8.05
232,Province of Groningen,75,NL,1619964624,66,53.25,6.75,50.0,10.36
233,St. George's,20,GD,1619964624,62,12.0564,-61.7485,86.0,17.27
234,Verkhoyansk,100,RU,1619964624,98,67.5447,133.385,29.44,1.63
235,Constitución,100,CL,1619964625,96,-35.3333,-72.4167,55.76,5.08
236,Langham,75,CA,1619964625,81,52.3668,-106.9679,46.0,12.66
237,Fortuna,90,US,1619964625,100,40.5982,-124.1573,52.0,8.05
238,Porto Belo,40,BR,1619964418,69,-27.1578,-48.5531,77.0,5.75
239,Beba,20,CU,1619964626,61,22.4437,-79.7253,82.4,10.36
240,Sistranda,75,NO,1619964626,61,63.7256,8.834,42.8,10.36
241,Liévin,90,FR,1619964627,62,50.4198,2.7807,55.0,11.5
242,Mildura,12,AU,1619964628,63,-34.2,142.15,64.99,10.36
243,Viotá,75,CO,1619964628,72,4.4371,-74.5216,60.8,2.3
244,Kyabram,19,AU,1619964628,83,-36.3167,145.05,57.74,9.66
245,Narasannapeta,21,IN,1619964629,72,18.4167,84.05,83.16,0.94
246,Abakan,0,RU,1619964629,53,53.7156,91.4292,46.4,11.18
247,Lavrentiya,100,RU,1619964629,89,65.5833,-171.0,17.04,9.55
248,Osakarovka,19,KZ,1619964630,24,50.565,72.5692,58.1,2.8
249,Kashgar,20,CN,1619964630,11,39.4547,75.9797,82.4,6.71
250,Sitka,75,US,1619964630,93,57.0531,-135.33,39.2,2.82
251,Pangnirtung,100,CA,1619964631,79,66.1451,-65.7125,39.9,4.32
252,Lorengau,94,PG,1619964631,75,-2.0226,147.2712,81.25,0.56
253,Kahului,11,US,1619964583,83,20.8947,-156.47,70.0,11.99
254,Taoudenni,94,ML,1619964631,16,22.6783,-3.9836,102.72,6.31
255,Peniche,100,PT,1619964632,54,39.3558,-9.3811,64.0,11.01
256,Naze,0,JP,1619964632,55,28.3667,129.4833,60.55,10.98
257,Adrar,100,MR,1619964632,15,20.5022,-10.0711,95.58,5.46
258,Vanimo,100,PG,1619964633,83,-2.6741,141.3028,78.75,1.21
259,Ridge,1,US,1619964633,45,40.894,-72.8959,64.4,9.22
260,Monrovia,75,LR,1619964443,66,6.3005,-10.7969,91.4,12.66
261,Pierre,75,US,1619964384,63,44.3683,-100.351,66.99,4.61
262,Poum,22,NC,1619964633,78,-20.2333,164.0167,76.06,15.28
263,Khatanga,100,RU,1619964634,91,71.9667,102.5,31.75,7.36
264,Motta di Livenza,0,IT,1619964634,49,45.7781,12.6028,69.8,16.11
265,Selishche,99,RU,1619964634,35,56.8879,33.2691,53.33,2.42
266,Hambantota,54,LK,1619964369,75,6.1241,81.1185,82.04,3.78
267,Elban,99,RU,1619964635,67,50.1018,136.5094,39.04,9.31
268,Aksu,90,CN,1619964635,17,41.1231,80.2644,73.72,8.93
269,Río Gallegos,40,AR,1619964635,87,-51.6226,-69.2181,41.0,10.36
